nombre,poblacion,superficie,continente
Argentina,45376763,2780400,América
Japón,125800000,377975,Asia
Brasil,213993437,8515767,América
Alemania,83149300,357022,Europa
China,1439323776,9596961,Asia
India,1380004385,3287263,Asia
Estados Unidos,331002651,9833517,América
Indonesia,273523615,1904569,Asia
Pakistán,220892340,881912,Asia
Bangladesh,164689383,147570,Asia
Nigeria,206139589,923768,África
Rusia,145934462,17098242,Europa
México,128932753,1964375,América
Filipinas,109581078,300000,Asia
Egipto,102334404,1001449,África
Vietnam,97338579,331212,Asia
Turquía,84339067,783562,Europa
Irán,83992949,1648195,Asia
Tailandia,69799978,513120,Asia
Reino Unido,67886011,242900,Europa
Francia,65273511,551695,Europa
Italia,60461826,301340,Europa
Sudáfrica,59308690,1221037,África
Tanzania,59734218,945087,África
Myanmar,54409800,676578,Asia
Corea del Sur,51269185,100210,Asia
Kenia,53771296,580367,África
Uganda,45741007,241038,África
Argelia,43851044,2381741,África
Sudán,43849260,1886068,África
Iraq,40222493,438317,Asia
Canadá,37742154,9984670,América
Polonia,37846611,312679,Europa
Marruecos,36910560,446550,África
Afganistán,38928346,652230,Asia
Perú,32971854,1285216,América
Venezuela,28435940,916445,América
Malasia,32365999,330803,Asia
Uzbekistán,33469203,448978,Asia
Angola,32866272,1246700,África
Mozambique,31255435,801590,África
Ghana,31072940,238533,África
Yemen,29825964,527968,Asia
Nepal,29136808,147181,Asia
Madagascar,27691018,587041,África
Camerún,26545863,475442,África
Costa de Marfil,26378274,322463,África
Australia,25499884,7692024,Oceanía
Taiwán,23816775,36193,Asia
Níger,24206644,1267000,África
Sri Lanka,21413249,65610,Asia
Burkina Faso,20903273,274200,África
Malí,20250833,1240192,África
Rumania,19237691,238391,Europa
Chile,19116201,756102,América
Malaui,19129952,118484,África
Kazajistán,18776707,2724900,Asia
Zambia,18383955,752612,África
Guatemala,17915568,108889,América
Ecuador,17643054,276841,América
Siria,17500658,185180,Asia
Países Bajos,17134872,41543,Europa
Senegal,16743927,196722,África
Camboya,16718965,181035,Asia
Chad,16425864,1284000,África
Somalia,15893222,637657,África
Zimbabue,14862924,390757,África
Guinea,13132795,245857,África
Ruanda,12952218,26338,África
Benín,12123200,112622,África
Burundi,11890784,27834,África
Túnez,11818619,163610,África
Bolivia,11673021,1098581,América
Bélgica,11589623,30528,Europa
Haití,11402528,27750,América
Cuba,11326616,109884,América
Sudán del Sur,11193725,644329,África
República Dominicana,10847910,48671,América
República Checa,10708981,78865,Europa
Grecia,10423054,131990,Europa
Jordania,10203134,89342,Asia
Portugal,10196709,92090,Europa
Azerbaiyán,10139177,86600,Asia
Suecia,10099265,450295,Europa
Honduras,9904607,112492,América
Emiratos Árabes Unidos,9890402,83600,Asia
Hungría,9660351,93028,Europa
Tayikistán,9537645,143100,Asia
Belarus,9449323,207600,Europa
Austria,9006398,83879,Europa
Papúa Nueva Guinea,8947024,462840,Oceanía
Serbia,8737371,88361,Europa
Israel,8655535,20770,Asia
Suiza,8654622,41284,Europa
Togo,8278724,56785,África
Sierra Leona,7976983,71740,África
Hong Kong,7496981,1104,Asia
Laos,7275560,236800,Asia
Paraguay,7132538,406752,América
Libia,6871292,1759540,África
Líbano,6825445,10452,Asia
Nicaragua,6624554,130373,América
Kirguistán,6524195,199951,Asia
El Salvador,6486205,21041,América
Turkmenistán,6031200,488100,Asia
Singapur,5850342,719,Asia
Dinamarca,5792202,43094,Europa
Finlandia,5540720,338424,Europa
Eslovaquia,5459642,49037,Europa
Noruega,5421241,323802,Europa
Omán,5106626,309500,Asia
Palestina,5101414,6220,Asia
Costa Rica,5094118,51100,América
Liberia,5057681,111369,África
Irlanda,4937786,70273,Europa
Nueva Zelanda,4822233,270467,Oceanía
República Centroafricana,4829767,622984,África
Mauritania,4649658,1030700,África
Panamá,4314767,75417,América
Kuwait,4270571,17818,Asia
Croacia,4105267,56594,Europa
Moldavia,4033963,33846,Europa
Georgia,3989167,69700,Asia
Eritrea,3546421,117600,África
Uruguay,3473730,181034,América
Bosnia y Herzegovina,3280819,51209,Europa
Mongolia,3278290,1564116,Asia
Armenia,2963243,29743,Asia
Jamaica,2961167,10991,América
Qatar,2881053,11586,Asia
Albania,2877797,28748,Europa
Puerto Rico,2860853,8870,América
Lituania,2722289,65300,Europa
Namibia,2540905,824292,África
Gambia,2416668,11295,África
Botswana,2351627,581730,África
Gabón,2225734,267668,África
Lesoto,2142249,30355,África
Macedonia del Norte,2083374,25713,Europa
Eslovenia,2078938,20273,Europa
Guinea-Bissau,1968001,36125,África
Letonia,1886198,64589,Europa
Bahrein,1701575,760,Asia
Ecuatorial Guinea,1402985,28051,África
Trinidad y Tobago,1399488,5130,América
Estonia,1326535,45227,Europa
Mauricio,1271768,2040,África
Chipre,1207359,9251,Europa
Eswatini,1160164,17364,África
Yibuti,988000,23200,África
Fiyi,896445,18274,Oceanía
Reunión,895312,2512,África
Comoras,869601,1862,África
Guyana,786552,214969,América
Bután,771608,38394,Asia
Islas Salomón,686884,28896,Oceanía
Macao,649335,30,Asia
Montenegro,628066,13812,Europa
Luxemburgo,625978,2586,Europa
Guadalupe,400124,1628,América
Surinam,586632,163820,América
Cabo Verde,555987,4033,África
Malta,441543,316,Europa
Brunéi,437479,5765,Asia
Belice,397628,22966,América
Bahamas,393244,13880,América
Maldivas,540544,300,Asia
Islandia,341243,103000,Europa
Vanuatu,307145,12189,Oceanía
Barbados,287375,430,América
Nueva Caledonia,285498,18575,Oceanía
Samoa,198414,2842,Oceanía
Luxemburgo,625978,2586,Europa
Mauricio,1271768,2040,África
Chipre,1207359,9251,Europa
